title,release year,genre,key words,plot,run time /min,number of votes,rating
Northpole: Open for Christmas,2015,Drama|Family|Fantasy,holiday|christmas,"A successful businesswoman, Mackenzie, inherits her beloved aunt's inn, and chooses to restore the hotel to its original grandeur only to sell it right before Christmas. Unbeknownst to Mackenzie, she receives some unexpected help from a team of elves headed by the cheerful Clementine, who helps Mackenzie rediscover the true meaning of Christmas.",83,1464,6.3
End of the World,2013,Action|Adventure|Drama|Sci-Fi|Thriller,psychotronic-film|disaster-movie|disaster-film,A group of Apocalyptic fanatics must use their knowledge of apocalyptic movies to save the world from a devastating solar flare.,85,1461,4.8
Christmas in Conway,2013,Drama|Romance,ferris-wheel|neighbor|nurse|dying-wife|husband-wife-relationship|terminal-illness|dancing|chores|boy|dream|fall|medical-examination|jealousy|loyalty|therapy|ritual|christmas|sheriff|christmas-present|fall-from-height|feud|small-town|nosy-neighbor|second-chance|christmas-decorations,"To the folks in Conway, South Carolina, Duncan Mayor is a very cranky guy. To ""my sweet girl"" - his wife, Suzy - he's a doting pussycat. But Suzy is just home from the hospital and cared for 24/7 by nurse Natalie, whom Duncan tries his best to ignore. Duncan decides the best medicine Suzy could possibly have - and a Christmas present she'll never forget -- is a ride on a real Ferris wheel, set up in their own back yard. Why a Ferris wheel? Because it was while riding one many moons ago that Duncan asked Suzy to marry him. Where to find a 45-foot-high used Ferris wheel? Duncan strikes gold in an abandoned amusement park, presided over by a lonely ex-carnival worker -- Henry. Assembling the mechanical monstrosity is not exactly a one-man job. Duncan gets a crucial assist from Tommy, a former student of Suzy's, who is deeply in her debt. He's become a successful landscape designer after a troubled youth; it was Suzy who set him straight. Meanwhile, the neighbors are not amused; especially prim and proper Gayle Matthews. She's entered her garden in an upscale magazine's ""Christmas Showcase"" contest. The interest of the contest's judges witnessing the atrocity next door is more than Gayle can bear. Fortunately, her brother is the local sheriff - and there are zoning laws to prevent this kind of thing, aren't there?",97,1456,6.8
Christmas Belle,2013,Drama|Family|Romance,dog|barn|holiday-season|estate-sale|mansion|christmas|undressing|towel|drinking|party|gift|dinner|bed|chores|embarrassment|happy-ending|marriage-proposal-on-one's-knees|rose-bush|kiss-on-the-lips|interrupted-kiss|dancing-couple|parent-grown-child-relationship|apology|marriage-proposal|quitting|country-estate|jogging|bare-chested-male|losing-one's-temper|dog-on-bed|pet-dog|book-collection|main-character-romance|holiday-in-title|local-diner|father-daughter-relationship|2010s|two-word-title|solarium|appraisal,"With her California hometown in the rear-view mirror, Belle heads north on business to facilitate the estate sale of a mansion. While the job is a dream, the client, Hunter Lowell, is not. But, as the two spend more time together, his icy demeanor begins to melt. Although their relationship is budding, Belle's long-time suitor, Tony, arrives, sending mixed signals to Hunter while adding chaos to the holiday season.",85,1448,5.3
Northpole,2014,Family|Fantasy|Romance,christmas|elf|north-pole,"Northpole, the magical home to Santa & Mrs. Claus, has grown into a huge city powered by the magic of holiday happiness around the world. Yet as people everywhere get too busy to enjoy festive time together, the city is in trouble. Who can help save the cherished traditions of Christmas? One young boy, Kevin, might have a chance if he can convince his protective mom, Chelsea, to rediscover the magic of the season. With a little added help from Kevin's charming teacher Ryan, a mysterious elf-like girl Clementine (Madison) and a gospel singer named Josephine, Kevin is determined to bring his mom in on the fun and prove that one small voice can change the hearts of many.",81,1447,6.4
Hats Off to Christmas!,2013,Drama|Romance,competition|father-figure|boy|father-son-relationship|dinner|medical-examination|gift|loyalty|therapy|chores|christmas|holiday,"Mia (Duff), the loyal and hard-working manager of her small town's Christmas hat shop, is blindsided when her boss of over ten years asks her to train his son, Nick (Cupo), for a vacant upper-management position that Mia had been coveting. Although Nick is a handsome, successful New York City business consultant, Mia finds training him frustrating until Nick takes an interest in Mia's son Scotty (Sean Michael Kyer, ""Girl in Progress,"" ""The Color of Rain""), helping Scotty with a pumpkin carving contest. However, Mia's faith in Nick quickly diminishes when Nick fails to show up at the contest. To protect her son from further disappointment, Mia tries to keep Nick out of her and Scotty's fragile life, and Nick must decide if staying in the small town of Wilsonville is worth giving up the big-city perks he once had in New York. As Mia struggles to find a way to convince Scotty to return to physical therapy so he can walk again, she soon realizes that Nick may be the Christmas miracle she has been waiting for.",85,1447,6.0
Summer Love,2016,Drama|Romance,internship|accounting|business-woman|intrigue|foundation|business-idea|new-business|idea-theft|f-rated,"A widowed mom gets a summer internship at a tech company and draws the attention of two very different executives while learning about about accounting, app designs and finding love.",83,1445,6.5
Finding Christmas,2013,Drama|Romance,christmas,"Sean, who runs a New York City advertising agency, and Owen, a small-town handyman and musician, swap residences for the holidays. Mia, who works for Sean, helps Owen get settled into his new apartment while Ryan, sent by Owen to fix a broken heater, helps Sean find the charm of living in a small town. Owen is a fish-out-of-water in the big city and tries to flirt with Halo, an aspiring model/actress/singer who lives in the apartment building. One night, after Mia has shown Owen around the town, Halo sees him entering the elevator while he's dressed in a wardrobe borrowed from Sean's closet. Thinking he's rich, Halo flirts back and sets up a date. Mia, however, warns him that she just thinks he has money because he's living in Sean's apartment and is wearing Sean's clothes. On the day of the big date, Owen realizes who he really is and what he really wants in life. Meanwhile, Sean is falling in love with the local veterinarian, who happens to be harboring a big secret - two, actually. He's surprised when his ex-fiancé' appears on his doorstep, ready to accept his marriage proposal and move back to New York with him. This complicates Sean's blossoming relationship with the small town girl, who has told him that her career as a veterinarian relies on her staying where she is, and to simply enjoy their love while it lasts. On Christmas Eve, Sean invites Owen to come back for a special dinner, where a surprise awaits all of them.",120,1444,6.5
Metal Tornado,2011,Action|Sci-Fi|Thriller,solar-flare|disaster-film|space-satellite|tractor|eiffel-tower-paris|paris-france|church|mailbox|hospital|police-officer|chicken|wind-chime|electromagnetic-interference|gas-station|silo|sickle|pitchfork|house-trailer|motorbike|compass|chainsaw|car-alarm|solar-panel|death|father-son-relationship|school-suspension|out-of-control|scientific-experiment|magnetism|tornado,An American company inadvertently unleashes a magnetic vortex on an unprepared world.,90,1439,3.2
ReMastered: Devil at the Crossroads,2019,Documentary|Biography,blues|musician|death|devil,"A look at the short, mysterious life of blues legend, Robert Johnson, who was said to have made a deal with the Devil at a crossroads in rural Mississippi.",48,1438,7.0
Mermaids: The Body Found,2011,Sci-Fi,fake-documentary|cryptozoology|mermaid|mockumentary,"In 2016, when marine biologist Dr Brian McCormick (Sean C. Michael) stumbled across a recording of mysterious underwater sounds, he launched a scientific investigation to uncover the creature responsible. In search of conclusive proof, he and his research team are called out to an unusual whale stranding in South Africa. Here they find the part digested remains of an animal none of them can identify. As each of its body parts is autopsied, they provide new pieces of the puzzle. As the picture builds, McCormick is drawn to an astonishing conclusion: this new marine creature is related to humans.",82,1436,4.8
A Cookie Cutter Christmas,2014,Comedy|Romance,competition|dinner|embarrassment|jealousy|f-rated|christmas,"Two schoolteachers take their rivalry to a new level, while they scramble to win a holiday baking contest and the affections of a handsome single father.",84,1433,6.1
Blood Lake: Attack of the Killer Lampreys,2014,Action|Comedy|Horror|Sci-Fi|Thriller,psychotronic-film|lake|weed-whacker|underwater-kiss|town-hall|coroner|boyfriend-girlfriend-relationship|dog|lake-michigan|mayor|underwater-scene|father-son-relationship|eye-ripped-out|mother-daughter-relationship|mother-son-relationship|father-daughter-relationship|husband-wife-relationship|blood|blood-splatter|killer-fish|cgi,"After chomping through the fish population, thousands of starved lampreys begin attacking the citizens of a sleepy lake town, and the community scrambles to stay alive.",87,1431,3.8
The Swap,2016,Comedy|Family|Fantasy,body-switching|rhythmic-gymnastics|hockey|disney-channel-original-movie|high-school|body-swap,"Ellie O'Brien is trying to juggle rhythmic gymnastics and troubles with her best friend. Meanwhile, classmate Jack Malloy is struggling to live up to his brothers' hockey-star legacies and dad's high expectations and tough-love approach.",100,1430,6.2
November Christmas,2010,Drama,cancer|girl|8-year-old|pumpkin|8-year-old-girl|daughter|mother|father|christmas-lights|snowglobe|christmas-tree|reading-a-book|children's-book|halloween-party|halloween|halloween-costume|christmas,"A brave young girl is battling cancer, which has an effect on the people around her.",96,1427,7.6
Snowed-Inn Christmas,2017,Comedy|Romance,christmas|love|reporter|new-york-city|small-town|indiana|inn,"Jenna Hudson (Bethany Joy Lenz) and Kevin Jenner (Andrew Walker) are polar opposites working for the same online publication in New York City. With both having nowhere they want to be for Christmas, they volunteer for a special writing assignment. After a snowstorm forces their plane to land in none other than Santa Claus, Indiana, the two are placed in a Christmas Wonderland and the focus of their story shifts to saving the historic town inn run by Carol and Christopher Winters. As the two overcome their differences, they also rediscover the magic of Christmas. But with the inn's fate in jeopardy and the return of someone from Jenna's past, Carol and Christopher lend a helping hand to bring Jenna and Kevin together.",86,1420,7.4
Witchville,2010,Adventure|Fantasy,witch-hunter|king|arrow|crossbow|hands-tied-behind-back|arms-tied-overhead|hood|cloak|horse|bare-chested-male|stabbed-in-the-back|branded|branding|torture|witch-burning|dungeon|kingdom|turban|dead-rabbit|prince|resurrection|famine|bunny|magician|bald-man|magic|girl-sword-fight|wicked-queen|bare-chested-male-bondage|crusades|sword-and-sorcery,"In the Middle Ages, Erik and Jason seek out his compatriot Malachy and force him to return to his homeland. When they arrive, they find that Malachy's father, the King, is dead and their lands are completely devastated. Soon, witch hunter Kramer meets Malachy and tells him that a coven of witches led by the evil Red Queen is responsible for the destruction of the crops. Malachi teams-up with Erik, Jake, Kramer and four warrior-thieves to find the Red Queen. But the witch is very powerful and the skilled warrior Jozefa protects her.",90,1420,3.8
Christmas at Cartwright's,2014,Drama|Family|Fantasy|Romance,christmas,"A single mom gets a holiday job as a department store Santa to help boost her finances, and then an angel enters her life and brings about some positive changes, including the spark of a new romance.",84,1419,6.4
Aurora Teagarden Mystery: A Bone to Pick,2015,Crime|Drama|Mystery,seven-word-title|female-lead|redheaded-woman|amateur-sleuth|beneficiary|human-skull|murder-mystery|pregnant-woman|murderer-duo|break-in|intruder|death-of-woman|funeral|catholic-priest|date|caught-kissing|kiss-on-the-lips|murder-investigation|skull|murder|first-of-series|mother-daughter-relationship|pregnant-policewoman|amateur-detective|librarian|death-of-friend|based-on-novel|character-name-in-title,"When Aurora, or Roe, Teagarden's acquaintance from the hobby group, ""Real Murders"", dies, Roe is bequeathed a big old house and a small fortune. Roe soon discovers that her generous benefactress has left her more than she bargained for when she uncovers a skull, showing signs of blunt force trauma, hidden in a carpeted window seat in the inherited house. Roe sets out to find out who the victim is and how his or her skull ended up in a spinster's window seat. Will Roe discover the murderer on Honor Street?",84,1417,6.7
